                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                  0.727,                0.36687,                0.88238,                0.95718,                0.94144,                0.97876,                0.77988,                0.79091,                 0.3644,                0.90583,               0.006535,               0.006535,               0.006535
                     38,                0.72058,                0.36488,                0.88132,                0.96127,                0.94286,                0.97995,                0.77953,                0.78733,                0.35948,                0.90345,               0.006436,               0.006436,               0.006436
                     39,                0.71894,                0.36351,                 0.8778,                0.95937,                0.94571,                0.97983,                0.77838,                0.78534,                0.35866,                0.90239,               0.006337,               0.006337,               0.006337
                     40,                0.70711,                0.35835,                0.87639,                0.95934,                 0.9463,                0.97996,                0.77999,                0.78161,                0.35754,                0.90064,               0.006238,               0.006238,               0.006238
                     41,                0.70415,                0.35643,                 0.8771,                0.96129,                0.94078,                0.98001,                0.78248,                 0.7742,                0.35764,                0.90061,               0.006139,               0.006139,               0.006139
                     42,                 0.7014,                0.35436,                0.87248,                0.95983,                0.94577,                0.98043,                0.78558,                0.77251,                0.35312,                0.90018,                0.00604,                0.00604,                0.00604
                     43,                 0.7032,                0.35447,                0.87341,                 0.9625,                0.94455,                0.98127,                0.78751,                0.77523,                0.35057,                0.90027,               0.005941,               0.005941,               0.005941
                     44,                0.70115,                0.35165,                0.87456,                0.96317,                 0.9473,                0.98168,                0.78824,                0.76939,                 0.3511,                0.89996,               0.005842,               0.005842,               0.005842
                     45,                0.69759,                 0.3487,                0.87455,                0.95962,                0.94667,                0.98019,                0.78997,                0.77061,                0.34725,                0.89717,               0.005743,               0.005743,               0.005743
                     46,                0.69186,                0.34828,                0.87114,                0.96461,                0.94878,                0.98156,                0.79379,                0.75892,                0.34462,                0.89626,               0.005644,               0.005644,               0.005644
                     47,                0.68598,                0.34563,                0.86949,                0.96526,                0.94967,                0.98212,                  0.795,                0.75836,                0.34246,                0.89312,               0.005545,               0.005545,               0.005545
                     48,                0.68465,                0.34346,                0.87063,                0.96393,                0.94453,                0.98242,                0.79199,                0.76241,                0.34429,                0.89573,               0.005446,               0.005446,               0.005446
                     49,                 0.6813,                0.34215,                0.86909,                0.96383,                0.94747,                0.98304,                0.79485,                0.76466,                0.34327,                0.89304,               0.005347,               0.005347,               0.005347
                     50,                0.68079,                0.34191,                0.86436,                0.96521,                0.94794,                0.98324,                0.79813,                0.75347,                0.33851,                0.89053,               0.005248,               0.005248,               0.005248
                     51,                0.66669,                0.33567,                0.86287,                0.96452,                0.95016,                0.98239,                0.79976,                0.74273,                0.33602,                0.88944,               0.005149,               0.005149,               0.005149
                     52,                0.66989,                 0.3344,                 0.8639,                0.96307,                0.95386,                0.98321,                 0.8003,                 0.7477,                0.33426,                0.89128,                0.00505,                0.00505,                0.00505
                     53,                0.66645,                0.33252,                0.86476,                0.96446,                0.95079,                0.98301,                0.79868,                0.75152,                0.33722,                0.89306,               0.004951,               0.004951,               0.004951
                     54,                 0.6682,                 0.3334,                0.86759,                0.96791,                0.94847,                0.98377,                 0.8028,                0.73958,                0.33446,                0.88949,               0.004852,               0.004852,               0.004852
                     55,                0.66879,                0.33247,                0.86453,                0.96503,                0.95189,                0.98444,                0.80013,                0.74565,                0.33123,                0.88978,               0.004753,               0.004753,               0.004753
                     56,                0.65348,                0.32501,                0.86409,                0.96598,                0.95251,                0.98412,                0.80318,                0.74179,                0.33063,                 0.8916,               0.004654,               0.004654,               0.004654
                     57,                0.66111,                0.32709,                0.86245,                0.96789,                0.95367,                0.98357,                0.80542,                0.73347,                0.32792,                0.88614,               0.004555,               0.004555,               0.004555
                     58,                0.65339,                0.32449,                0.86346,                0.96226,                 0.9581,                0.98399,                0.80463,                 0.7355,                0.32954,                 0.8895,               0.004456,               0.004456,               0.004456
                     59,                0.65606,                0.32248,                 0.8595,                0.96638,                0.95259,                0.98404,                0.80704,                0.73115,                0.32642,                0.88501,               0.004357,               0.004357,               0.004357
                     60,                0.64651,                 0.3195,                0.85815,                 0.9663,                0.95268,                0.98443,                0.80839,                0.72872,                0.32416,                0.88401,               0.004258,               0.004258,               0.004258
